n_samples,n_features,feature_mean,feature_std,coeff_variation,target_mean,target_std,target_skewness,target_kurtosis,n_target_outliers,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,pca_explained_variance,avg_feature_target_correlation,avg_mutual_info,dataset_name,model_name,mae_val,mse_val,rmse_val,r2_val,mae_test,mse_test,rmse_test,r2_test
12384,8,-0.0028050111786861493,0.9189424591768776,-327.6074142447107,2.068077419250646,1.1509151433486544,0.9744178755605151,0.33199559041418336,640,13.557719711380251,830.9032618211123,0.1343324759771426,0,0.8444375547920893,0.9915622023369093,1.0023299190586994,0.9149645431386615,0.1610794086465394,0.17262012541483673,California Housing,XGBoost Regressor,0.32064085736486453,0.2323721970381279,0.4820499943347452,0.8307701835207024,0.31422656099689567,0.22232132434554655,0.47150962274968106,0.8303420321158117
618,8,-0.0009812077521939558,0.9974975786841446,-1016.6018118525512,35.914007942188846,16.647040690113304,0.4611447074246716,-0.2709899145213397,6,0.7328637589018246,1.4733339378194552,0.20333144262248273,0,0.9942942081379427,1.005697412158571,1.7433725306704784,0.881475861714843,0.25520787493052977,0.17644125363719232,Concrete Compressive Strength,Linear Regression,8.612267482338154,114.15024814642297,10.684111949358401,0.6256399428567613,7.7392299214655225,96.28933343550042,9.812712847908086,0.6263236307025867
618,8,-0.0009812077521939558,0.9974975786841446,-1016.6018118525512,35.914007942188846,16.647040690113304,0.4611447074246716,-0.2709899145213397,6,0.7328637589018246,1.4733339378194552,0.20333144262248273,0,0.9942942081379427,1.005697412158571,1.7433725306704784,0.881475861714843,0.25520787493052977,0.17644125363719232,Concrete Compressive Strength,Random Forest Regressor,3.717615591804408,30.31463089702184,5.505872401084304,0.9005820211592689,4.209628704919751,36.52648131095107,6.04371419831804,0.8582492740109279
618,8,-0.0009812077521939558,0.9974975786841446,-1016.6018118525512,35.914007942188846,16.647040690113304,0.4611447074246716,-0.2709899145213397,6,0.7328637589018246,1.4733339378194552,0.20333144262248273,0,0.9942942081379427,1.005697412158571,1.7433725306704784,0.881475861714843,0.25520787493052977,0.17644125363719232,Concrete Compressive Strength,Decision Tree Regressor,4.627426302353056,49.02326740373017,7.0016617601630955,0.8392263399807266,4.772111071978539,48.80655690455978,6.986168971944479,0.8105931744327615
618,8,-0.0009812077521939558,0.9974975786841446,-1016.6018118525512,35.914007942188846,16.647040690113304,0.4611447074246716,-0.2709899145213397,6,0.7328637589018246,1.4733339378194552,0.20333144262248273,0,0.9942942081379427,1.005697412158571,1.7433725306704784,0.881475861714843,0.25520787493052977,0.17644125363719232,Concrete Compressive Strength,Support Vector Regressor,8.381777565017975,114.12657099916198,10.683003837833345,0.6257175929569191,8.159518374719024,104.96154025142027,10.245073950510083,0.5926688255320853
618,8,-0.0009812077521939558,0.9974975786841446,-1016.6018118525512,35.914007942188846,16.647040690113304,0.4611447074246716,-0.2709899145213397,6,0.7328637589018246,1.4733339378194552,0.20333144262248273,0,0.9942942081379427,1.005697412158571,1.7433725306704784,0.881475861714843,0.25520787493052977,0.17644125363719232,Concrete Compressive Strength,K-Nearest Neighbors Regressor,7.124377884869947,87.01896619795806,9.328395692612855,0.7146180083934057,7.144072226662399,85.6140236420693,9.252784642585674,0.6677520097598222
618,8,-0.0009812077521939558,0.9974975786841446,-1016.6018118525512,35.914007942188846,16.647040690113304,0.4611447074246716,-0.2709899145213397,6,0.7328637589018246,1.4733339378194552,0.20333144262248273,0,0.9942942081379427,1.005697412158571,1.7433725306704784,0.881475861714843,0.25520787493052977,0.17644125363719232,Concrete Compressive Strength,XGBoost Regressor,3.094657166226147,23.940065296422848,4.89285860171974,0.92148765019866,3.16931347440414,22.96699114420326,4.792388876562842,0.9108704821370424
460,8,-0.001991318508789371,1.0009934987496412,-502.67874994954906,21.91458695652174,9.888917404756233,0.4308237920309175,-1.1664412287559887,0,0.0730366597977582,-1.1458460881781445,0.2513619687833171,0,1.0014755295917939,1.000836069557891,1.5608304046160764,0.9929858187172059,0.47005528518512485,0.7796469063297473,Energy Efficiency,Linear Regression,2.164504438538804,9.294681970323822,3.0487180863969403,0.915190152998753,2.228609798273529,9.359310458169825,3.0592990141811613,0.9102072903940741
460,8,-0.001991318508789371,1.0009934987496412,-502.67874994954906,21.91458695652174,9.888917404756233,0.4308237920309175,-1.1664412287559887,0,0.0730366597977582,-1.1458460881781445,0.2513619687833171,0,1.0014755295917939,1.000836069557891,1.5608304046160764,0.9929858187172059,0.47005528518512485,0.7796469063297473,Energy Efficiency,Random Forest Regressor,0.34982857142857327,0.2924775007792226,0.5408118903826196,0.9973312726383118,0.38488571428571655,0.2908614249350671,0.5393157006198384,0.9972094914917624
460,8,-0.001991318508789371,1.0009934987496412,-502.67874994954906,21.91458695652174,9.888917404756233,0.4308237920309175,-1.1664412287559887,0,0.0730366597977582,-1.1458460881781445,0.2513619687833171,0,1.0014755295917939,1.000836069557891,1.5608304046160764,0.9929858187172059,0.47005528518512485,0.7796469063297473,Energy Efficiency,Decision Tree Regressor,0.422857142857143,0.4175519480519481,0.6461825965251217,0.9961900238284189,0.43638961038961044,0.4031328311688314,0.6349274219694968,0.9961323657972945
460,8,-0.001991318508789371,1.0009934987496412,-502.67874994954906,21.91458695652174,9.888917404756233,0.4308237920309175,-1.1664412287559887,0,0.0730366597977582,-1.1458460881781445,0.2513619687833171,0,1.0014755295917939,1.000836069557891,1.5608304046160764,0.9929858187172059,0.47005528518512485,0.7796469063297473,Energy Efficiency,Support Vector Regressor,2.0566457187798837,9.360664574703012,3.0595203177463968,0.9145880910239582,2.039268151676391,9.191497948562356,3.0317483319963014,0.9118172743785536
460,8,-0.001991318508789371,1.0009934987496412,-502.67874994954906,21.91458695652174,9.888917404756233,0.4308237920309175,-1.1664412287559887,0,0.0730366597977582,-1.1458460881781445,0.2513619687833171,0,1.0014755295917939,1.000836069557891,1.5608304046160764,0.9929858187172059,0.47005528518512485,0.7796469063297473,Energy Efficiency,K-Nearest Neighbors Regressor,1.6790779220779224,6.485404857142859,2.5466458052000203,0.9408235595976753,1.7195194805194804,7.085639194805193,2.661886397802354,0.9320207674021401
460,8,-0.001991318508789371,1.0009934987496412,-502.67874994954906,21.91458695652174,9.888917404756233,0.4308237920309175,-1.1664412287559887,0,0.0730366597977582,-1.1458460881781445,0.2513619687833171,0,1.0014755295917939,1.000836069557891,1.5608304046160764,0.9929858187172059,0.47005528518512485,0.7796469063297473,Energy Efficiency,XGBoost Regressor,0.2623171901702883,0.18377605314537457,0.42869109291583674,0.9983231250945954,0.2838119302229446,0.1680938695046884,0.409992523718041,0.9983873166641464
238,3,0.03404648363135841,1.0108942374802115,29.69159013382311,23.2609243697479,7.636804568632757,0.4755777042652514,-0.6295003763260296,0,0.4341584701538978,-0.5769514586073639,0.6137797043357432,0,1.0215410899613486,0.9944025352979093,2.0255758500081362,0.9999999999999999,0.6789220817004852,0.5433065328609179,Auto MPG,Linear Regression,3.5991645523012865,23.822642587290282,4.880844454322457,0.6793168795507749,3.037671715041017,14.403073058599313,3.795138081624872,0.7321178033352949
238,3,0.03404648363135841,1.0108942374802115,29.69159013382311,23.2609243697479,7.636804568632757,0.4755777042652514,-0.6295003763260296,0,0.4341584701538978,-0.5769514586073639,0.6137797043357432,0,1.0215410899613486,0.9944025352979093,2.0255758500081362,0.9999999999999999,0.6789220817004852,0.5433065328609179,Auto MPG,Random Forest Regressor,3.2160125000000006,19.879820512500004,4.458679234089396,0.7323922880276837,2.8774374999999996,14.510899612499998,3.809317473314609,0.730112341445309
238,3,0.03404648363135841,1.0108942374802115,29.69159013382311,23.2609243697479,7.636804568632757,0.4755777042652514,-0.6295003763260296,0,0.4341584701538978,-0.5769514586073639,0.6137797043357432,0,1.0215410899613486,0.9944025352979093,2.0255758500081362,0.9999999999999999,0.6789220817004852,0.5433065328609179,Auto MPG,Decision Tree Regressor,4.41625,36.355624999999996,6.029562587783627,0.5106069686365566,3.4575000000000005,24.5105,4.950808014859796,0.5441301620399621
238,3,0.03404648363135841,1.0108942374802115,29.69159013382311,23.2609243697479,7.636804568632757,0.4755777042652514,-0.6295003763260296,0,0.4341584701538978,-0.5769514586073639,0.6137797043357432,0,1.0215410899613486,0.9944025352979093,2.0255758500081362,0.9999999999999999,0.6789220817004852,0.5433065328609179,Auto MPG,Support Vector Regressor,3.661964321997973,27.492752527277485,5.243353175905423,0.6299125238570565,2.7827688724243136,15.504929478066753,3.937629931578989,0.71162441856559
238,3,0.03404648363135841,1.0108942374802115,29.69159013382311,23.2609243697479,7.636804568632757,0.4755777042652514,-0.6295003763260296,0,0.4341584701538978,-0.5769514586073639,0.6137797043357432,0,1.0215410899613486,0.9944025352979093,2.0255758500081362,0.9999999999999999,0.6789220817004852,0.5433065328609179,Auto MPG,K-Nearest Neighbors Regressor,3.2002499999999996,20.300415000000005,4.505598184481169,0.7267305503677651,3.025,14.692079999999999,3.833024915129042,0.7267425744519322
238,3,0.03404648363135841,1.0108942374802115,29.69159013382311,23.2609243697479,7.636804568632757,0.4755777042652514,-0.6295003763260296,0,0.4341584701538978,-0.5769514586073639,0.6137797043357432,0,1.0215410899613486,0.9944025352979093,2.0255758500081362,0.9999999999999999,0.6789220817004852,0.5433065328609179,Auto MPG,XGBoost Regressor,3.327179188728332,23.79206856634948,4.87771140662806,0.6797284448254522,3.058130223751068,16.474701430727485,4.058903969143331,0.693587667666276
