n_samples,n_features,feature_mean,feature_std,coeff_variation,pca_explained_variance,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,dataset_name,split,model_name,accuracy,f1_score,auc_roc
2000,30,-0.0013699300474520923,0.9985186367046339,-728.8829371702302,0.30213074901235826,-0.34729665744843674,37.6435680529428,0.056971134027970514,0,0.9967888477651398,0.9871619347133069,1.1143344849601544,Credit Card Fraud,val,XGBoost,0.9995,0.8,0.99983308295777
2000,30,0.000811853149553135,0.9848049073694558,1213.0333027734362,0.28846666318701697,0.2059495779962723,29.75441480956739,0.04673765605224699,0,0.9693352960976038,0.9927590219481927,1.0722399772207305,Credit Card Fraud,test,XGBoost,0.9985,0.0,0.9999999999999999
341,30,0.01060061587091863,1.0336141420514349,97.50510297114123,0.854136764370063,1.7734906852972523,7.643351906941408,0.3955858229865395,0,1.0672817617822399,1.0521886554036148,1.5766004411661891,Breast Cancer,train,Logistic Regression,,,
114,30,-0.054091385164375325,0.932972699403917,-17.248082972339454,0.8503184225752894,1.3018686850032888,2.7187000343946406,0.4082078747505631,0,0.8655591708233022,0.868141868607135,1.8201895326308344,Breast Cancer,val,Logistic Regression,0.9912280701754386,0.993006993006993,0.998689813298395
114,30,0.02238252541013317,0.959856240627988,42.88417964638768,0.8689147733663167,1.348584134031028,4.250809828581259,0.4016636391444072,0,0.9179659426915436,0.8802303498246222,1.796479550663056,Breast Cancer,test,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9950396825396824
341,30,0.01060061587091863,1.0336141420514349,97.50510297114123,0.854136764370063,1.7734906852972523,7.643351906941408,0.3955858229865395,0,1.0672817617822399,1.0521886554036148,1.5766004411661891,Breast Cancer,train,Random Forest,,,
114,30,-0.054091385164375325,0.932972699403917,-17.248082972339454,0.8503184225752894,1.3018686850032888,2.7187000343946406,0.4082078747505631,0,0.8655591708233022,0.868141868607135,1.8201895326308344,Breast Cancer,val,Random Forest,0.956140350877193,0.965034965034965,0.9831313462168358
114,30,0.02238252541013317,0.959856240627988,42.88417964638768,0.8689147733663167,1.348584134031028,4.250809828581259,0.4016636391444072,0,0.9179659426915436,0.8802303498246222,1.796479550663056,Breast Cancer,test,Random Forest,0.9473684210526315,0.9583333333333334,0.9907407407407408
341,30,0.01060061587091863,1.0336141420514349,97.50510297114123,0.854136764370063,1.7734906852972523,7.643351906941408,0.3955858229865395,0,1.0672817617822399,1.0521886554036148,1.5766004411661891,Breast Cancer,train,Decision Tree,,,
114,30,-0.054091385164375325,0.932972699403917,-17.248082972339454,0.8503184225752894,1.3018686850032888,2.7187000343946406,0.4082078747505631,0,0.8655591708233022,0.868141868607135,1.8201895326308344,Breast Cancer,val,Decision Tree,0.956140350877193,0.9640287769784173,0.9602030789387488
114,30,0.02238252541013317,0.959856240627988,42.88417964638768,0.8689147733663167,1.348584134031028,4.250809828581259,0.4016636391444072,0,0.9179659426915436,0.8802303498246222,1.796479550663056,Breast Cancer,test,Decision Tree,0.9035087719298246,0.9197080291970803,0.9136904761904762
341,30,0.01060061587091863,1.0336141420514349,97.50510297114123,0.854136764370063,1.7734906852972523,7.643351906941408,0.3955858229865395,0,1.0672817617822399,1.0521886554036148,1.5766004411661891,Breast Cancer,train,K-Nearest Neighbors,,,
114,30,-0.054091385164375325,0.932972699403917,-17.248082972339454,0.8503184225752894,1.3018686850032888,2.7187000343946406,0.4082078747505631,0,0.8655591708233022,0.868141868607135,1.8201895326308344,Breast Cancer,val,K-Nearest Neighbors,0.9649122807017544,0.9726027397260274,0.99475925319358
114,30,0.02238252541013317,0.959856240627988,42.88417964638768,0.8689147733663167,1.348584134031028,4.250809828581259,0.4016636391444072,0,0.9179659426915436,0.8802303498246222,1.796479550663056,Breast Cancer,test,K-Nearest Neighbors,0.9649122807017544,0.9726027397260274,0.9905753968253967
341,30,0.01060061587091863,1.0336141420514349,97.50510297114123,0.854136764370063,1.7734906852972523,7.643351906941408,0.3955858229865395,0,1.0672817617822399,1.0521886554036148,1.5766004411661891,Breast Cancer,train,Naive Bayes,,,
114,30,-0.054091385164375325,0.932972699403917,-17.248082972339454,0.8503184225752894,1.3018686850032888,2.7187000343946406,0.4082078747505631,0,0.8655591708233022,0.868141868607135,1.8201895326308344,Breast Cancer,val,Naive Bayes,0.9298245614035088,0.9436619718309859,0.9872256796593515
114,30,0.02238252541013317,0.959856240627988,42.88417964638768,0.8689147733663167,1.348584134031028,4.250809828581259,0.4016636391444072,0,0.9179659426915436,0.8802303498246222,1.796479550663056,Breast Cancer,test,Naive Bayes,0.9385964912280702,0.9517241379310345,0.9877645502645502
341,30,0.01060061587091863,1.0336141420514349,97.50510297114123,0.854136764370063,1.7734906852972523,7.643351906941408,0.3955858229865395,0,1.0672817617822399,1.0521886554036148,1.5766004411661891,Breast Cancer,train,XGBoost,,,
114,30,-0.054091385164375325,0.932972699403917,-17.248082972339454,0.8503184225752894,1.3018686850032888,2.7187000343946406,0.4082078747505631,0,0.8655591708233022,0.868141868607135,1.8201895326308344,Breast Cancer,val,XGBoost,0.9649122807017544,0.9714285714285714,0.9931215198165738
114,30,0.02238252541013317,0.959856240627988,42.88417964638768,0.8689147733663167,1.348584134031028,4.250809828581259,0.4016636391444072,0,0.9179659426915436,0.8802303498246222,1.796479550663056,Breast Cancer,test,XGBoost,0.956140350877193,0.9655172413793104,0.9933862433862434
